dataset,missing_type,best_method,best_value,worst_method,worst_value,improvement
boiler,MAR,interpolateakima,22323.52304260097,specsd2all4,9113968.361184673,99.75506253524344
boiler,MCAR,interpolateindex,17026.077067317085,specsd2all4,9722981.878206152,99.82488831841309
boiler,MNAR,interpolateindex,17557.890566637772,specsd2all4,12163315.986127686,99.85564881660015
lake1,MAR,interpolatepchip,5797.87988405335,gafsd2all4,81023.23681058452,92.84417642113263
lake1,MCAR,interpolateakima,3785.860609631497,specsd2all4,83377.62810800501,95.45938077690649
lake1,MNAR,interpolateakima,4491.235577940132,gafsd2all4,86123.08527955836,94.78509674454715
lake2,MAR,interpolateindex,11543.690747311037,gafsd2all4,97544.376436801,88.16570347877493
lake2,MCAR,interpolateindex,8902.367150194794,gafsd2all4,108900.02343639353,91.82519262230049
lake2,MNAR,interpolateindex,9769.316565627867,gafsd2all4,105801.81428703916,90.76639977162979
lake3,MAR,interpolateakima,8622.345059834197,gafsd2all4,83669.00388368845,89.69469617228806
lake3,MCAR,interpolateindex,5534.596141825398,gafsd2all4,125020.13563268213,95.57303620427479
lake3,MNAR,interpolateindex,6187.284915755408,gafsd2all4,105619.90911261165,94.14193311872808
pump,MAR,interpolatepchip,27688744.469871476,gafsd2all4,1874857956.6208673,98.52315508105072
pump,MCAR,interpolateindex,15423591.609697206,gafsd2all4,1678441916.7997208,99.08107683350133
pump,MNAR,interpolateindex,16151636.514982177,gafsd2all4,1674341920.7323623,99.03534419612946
vibr,MAR,imputemean,14438.465540474286,imputemode,23294.506369971936,38.017722671786835
vibr,MCAR,imputemean,11892.194801337619,imputemode,23751.460130311887,49.93067905681865
vibr,MNAR,imputemean,11557.451777601744,interpolatepchip,44974.10530433828,74.30198622208746
