missing_data_type,fixing_method,total_difference,mean_difference,count
MAR,interpolatepchip,27758314.5052,115659.6438,240
MAR,interpolateindex,28542669.6197,118927.7901,240
MAR,interpolatelinear,28542669.6197,118927.7901,240
MAR,interpolateakima,28858130.8892,120242.212,240
MAR,interpolatenearest,30939350.1317,128913.9589,240
MAR,imputebfill,34065012.4185,141937.5517,240
MAR,imputeffill,34929047.4023,145537.6975,240
MAR,interpolatepolynomial,56251758.0056,234382.325,240
MAR,interpolatequadratic,56251758.0056,234382.325,240
MAR,interpolatecubic,61905721.1094,257940.5046,240
MAR,mtfunet,603158219.0589,2513159.2461,240
MAR,specunet,633433069.0796,2639304.4545,240
MAR,imputemean,639587595.0518,2664948.3127,240
MAR,specsd2all4,647518297.9982,2697992.9083,240
MAR,imputemedian,671465432.4476,2797772.6352,240
MAR,mtfsd2all4,673670904.2805,2806962.1012,240
MAR,imputemode,680243742.9893,2834348.9291,240
MAR,rpunet,783548829.55,3264786.7898,240
MAR,rpsd2all4,913155670.409,3804815.2934,240
MAR,gafunet,1055212573.0536,4396719.0544,240
MAR,gafsd2all4,1883810989.1658,7849212.4549,240
MCAR,interpolateindex,15472696.9349,64469.5706,240
MCAR,interpolatelinear,15472696.9349,64469.5706,240
MCAR,interpolatepchip,15867179.6661,66113.2486,240
MCAR,interpolateakima,16253614.0186,67723.3917,240
MCAR,interpolatenearest,17910844.99,74628.5208,240
MCAR,imputeffill,18992194.8806,79134.1453,240
MCAR,imputebfill,19036940.3368,79320.5847,240
MCAR,interpolatepolynomial,19709021.6645,82120.9236,240
MCAR,interpolatequadratic,19709021.6645,82120.9236,240
MCAR,interpolatecubic,20374589.5161,84894.123,240
MCAR,imputemedian,366699424.829,1527914.2701,240
MCAR,imputemean,394374061.504,1643225.2563,240
MCAR,specsd2all4,464260683.5679,1934419.5149,240
MCAR,specunet,565164400.9505,2354851.6706,240
MCAR,mtfsd2all4,690340840.5155,2876420.1688,240
MCAR,mtfunet,719314577.1152,2997144.0713,240
MCAR,imputemode,742632304.5717,3094301.269,240
MCAR,rpunet,751773059.787,3132387.7491,240
MCAR,gafunet,782564078.2156,3260683.6592,240
MCAR,rpsd2all4,804348487.8468,3351452.0327,240
MCAR,gafsd2all4,1687362560.4518,7030677.3352,240
MNAR,interpolateindex,16203349.2813,67513.9553,240
MNAR,interpolatelinear,16203349.2813,67513.9553,240
MNAR,interpolatepchip,16628712.3992,69286.3017,240
MNAR,interpolateakima,16963268.1526,70680.284,240
MNAR,interpolatenearest,18817590.145,78406.6256,240
MNAR,imputebfill,20540265.1959,85584.4383,240
MNAR,imputeffill,20639037.1517,85995.9881,240
MNAR,interpolatepolynomial,20788906.6369,86620.4443,240
MNAR,interpolatequadratic,20788906.6369,86620.4443,240
MNAR,interpolatecubic,21537976.2998,89741.5679,240
MNAR,imputemedian,335868087.8941,1399450.3662,240
MNAR,imputemean,358806943.9429,1495028.9331,240
MNAR,imputemode,454896615.1908,1895402.5633,240
MNAR,mtfsd2all4,536316519.3069,2234652.1638,240
MNAR,specsd2all4,540920745.2578,2253836.4386,240
MNAR,specunet,588823217.5941,2453430.0733,240
MNAR,mtfunet,680494623.969,2835394.2665,240
MNAR,rpunet,719894504.163,2999560.434,240
MNAR,gafunet,769262489.6912,3205260.3737,240
MNAR,rpsd2all4,783075431.5562,3262814.2982,240
MNAR,gafsd2all4,1683174344.1473,7013226.4339,240
